@relation linear_regression_finalmarks

@attribute StudyHours numeric
@attribute Attendance numeric
@attribute InternalMarks numeric
@attribute Projects numeric
@attribute FinalMarks numeric

@data
7,83,24,3,88.93
4,82,26,3,93.31
8,67,19,2,62.94
5,96,15,4,83.05
7,62,27,4,87.2
3,92,22,4,71.86
7,87,12,4,75.2
8,67,19,4,78.09
5,93,23,2,85.3
4,94,15,3,76.26
8,91,12,3,66.35
8,83,25,2,93.47
3,73,16,4,66.93
6,91,29,2,99.56
5,75,23,3,78.47
2,63,18,1,55.05
8,96,24,2,90.94
6,80,12,4,69.51
2,73,11,3,51.59
5,90,11,3,63.52
1,77,12,3,49.47
6,66,27,3,82.63
9,69,23,4,91.58
1,66,29,1,72.11
3,92,27,3,91.65
7,82,19,2,76.17
4,80,11,1,48.84
9,78,10,3,71.89
3,78,13,1,53.03
5,95,23,2,81.83
3,88,10,3,66.09
7,77,23,2,75.8
5,61,25,4,81.62
9,60,23,3,82.8
7,64,29,3,92.7
2,79,12,3,62.48
4,70,12,3,60.82
9,61,18,4,76.5
2,62,15,3,59.97
9,82,22,1,89.78
5,71,11,3,60.16
2,79,17,4,66.86
4,64,11,3,58.14
7,96,13,1,69.99
8,97,24,4,89.41
3,89,13,4,68.4
1,68,22,1,56.17
4,93,21,1,76.77
2,94,22,1,68.71
8,81,23,1,82.48
4,83,29,1,85.85
2,76,27,4,94.57
6,69,15,4,73.91
6,89,20,3,88.02
4,82,11,3,70.96
6,91,28,2,93.75
2,76,28,3,82.73
2,76,14,3,54.97
4,73,28,1,78.82
8,68,11,1,56.78
7,99,19,3,82.69
9,61,11,2,72.15
8,84,20,1,79.27
5,98,27,3,88.02
2,68,24,3,79.77
5,81,18,4,81.08
8,63,28,2,91.94
9,85,18,4,75.47
9,88,12,2,82.14
1,93,18,1,61.61
9,82,23,2,90.99
7,96,28,3,100
9,70,16,3,86.28
8,65,25,2,78.11
1,77,25,2,65.38
8,80,10,2,72.15
8,95,13,4,79.71
3,97,13,2,62.1
1,93,16,1,64.51
8,76,17,4,78.49
3,96,26,4,92.31
3,84,14,2,62.53
1,97,16,1,66.21
5,71,29,4,85.33
7,82,29,3,100
9,81,13,4,80.29
7,80,15,2,73.73
9,86,16,1,69.71
8,90,27,2,100
2,65,14,3,56.93
1,86,29,3,87.44
7,99,12,3,72.59
7,93,16,2,77.2
8,71,23,4,88.29
5,66,16,2,49.7
3,69,14,1,58.11
8,76,14,4,84.63
6,85,11,3,69.2
3,80,15,2,57.71
1,87,24,3,79.85
3,61,19,3,70.6
5,60,16,1,62.06
3,95,14,4,70.13
1,85,10,1,48.79
5,88,22,1,75.67
7,80,27,1,89.49
7,70,22,3,73.46
9,99,27,1,93.84
3,70,14,1,63.48
7,95,22,4,98.67
1,98,13,4,58.51
4,99,26,1,78.54
4,94,12,4,67.85
5,93,26,4,96.36
7,83,20,1,67.26
7,81,29,3,94.03
4,64,13,1,51.83
7,92,11,4,79.73
3,95,29,3,82.12
6,79,25,2,83.66
2,78,27,3,78.43
9,94,17,4,94.05
5,76,12,3,66.29
6,93,18,1,71.47
4,68,29,2,86.17
7,85,15,2,70.06
9,61,19,2,79.8
7,68,19,4,76.71
1,68,22,4,75.67
1,99,26,2,82.88
9,76,18,3,96.6
9,60,26,2,84.74
4,84,18,3,74.61
9,99,18,3,84.8
3,84,10,4,61.21
7,98,11,3,58.89
6,94,25,2,90.03
8,62,10,4,71.31
9,96,19,1,84.78
5,89,27,1,78.13
1,97,17,4,67.59
3,93,20,2,61.75
8,71,11,1,66.19
6,78,17,1,63.37
8,96,17,3,82.66
9,76,26,3,91.53
4,69,24,2,82.14
1,71,26,4,77.73
1,75,22,2,71.54
4,83,28,4,92.63
7,78,14,1,72.7
2,67,21,3,66.9
3,90,10,2,67.35
1,80,14,2,47.07
5,76,17,4,77.59
1,82,22,4,70.27
8,96,17,2,77.84
1,75,20,4,72.35
1,65,10,2,49.31
2,67,22,2,70.13
2,84,28,2,74.27
6,77,12,1,67.85
7,84,26,4,88.7
5,71,14,3,60.96
1,74,29,3,83.39
1,85,17,4,66.57
3,85,23,2,77.54
2,91,13,3,52.52
5,69,20,3,74.62
6,75,29,4,94.09
7,66,24,3,79.75
4,76,28,2,72.43
7,82,16,4,76.54
8,85,28,2,93.31
1,80,28,3,78.66
6,81,20,3,69.62
8,66,14,2,74.77
5,73,14,1,57.21
4,74,17,3,67.09
2,66,19,1,47.75
6,68,15,3,75.37
6,67,24,1,73.27
1,82,25,1,72.09
9,88,26,1,96.5
6,77,17,2,67.22
3,90,17,1,70.82
4,89,18,1,58.89
4,98,11,1,64.15
3,94,24,3,90.56
3,77,27,1,74.2
3,98,12,3,71.49
4,76,26,1,86.47
7,73,13,1,61.63
4,90,13,2,62.81
9,83,23,3,85.41
1,94,18,1,62.15
8,93,18,3,79.32
7,62,27,3,81.1
2,96,19,4,82.29
8,99,13,2,71.25
1,85,21,2,70.29
9,82,17,2,78.29
9,98,11,4,86.39
2,74,22,4,71.68
7,63,25,2,82.31
3,88,11,4,67.86
7,81,20,4,90.75
9,84,19,4,84.11
4,72,24,2,72.51
1,77,26,2,68.79
2,92,17,2,78.28
1,75,27,4,86.92
5,61,18,2,65.09
5,94,17,4,88.36
7,93,23,1,83.39
9,89,27,4,100
9,72,29,3,95.65
3,72,29,2,83.09
3,77,21,2,72.06
3,91,28,3,85.68
4,91,23,4,90.26
8,94,26,1,94.28
6,98,12,3,77.04
8,88,16,3,80.5
1,88,26,4,77.87
8,75,21,2,88.55
4,69,18,4,69.39
1,89,24,3,79.02
8,84,27,3,97.38
4,98,22,2,82.19
6,79,17,2,75.78
8,64,23,2,85.07
4,60,17,4,65.38
3,89,23,2,85.33
9,62,16,3,71.77
3,73,21,3,73.58
9,89,20,1,80.26
2,63,20,4,64.53
2,77,22,1,72.82
2,96,27,3,100
6,84,11,1,59.39
3,60,24,3,78.58
9,74,29,1,89.57
4,68,27,2,78.85
1,74,24,1,76.49
4,83,28,2,79.53
1,63,21,2,55.71
5,71,22,4,78.86
4,96,20,2,80.12
8,96,14,2,78.12
8,65,10,1,59.8
7,98,12,3,74.07
3,83,28,4,91.83
1,70,16,2,42.43
1,72,21,4,66.35
3,93,24,1,76.93
6,84,14,2,71.72
7,66,24,1,84.75
6,63,17,4,66.97
6,67,19,1,75.39
6,79,25,4,85.94
3,88,17,1,64.75
6,69,10,4,65.61
8,93,21,3,86.88
2,85,14,1,63.55
5,62,12,1,52.08
1,65,10,3,47.05
1,64,13,3,58.46
5,64,17,1,58.38
3,82,12,3,62.34
4,68,19,2,58.6
3,94,11,4,74.8
1,79,20,4,76.73
1,94,19,4,87.45
5,77,23,2,84.29
6,76,16,3,65.65
3,83,11,3,63.24
9,62,18,1,66.51
5,91,25,3,95.19
8,94,22,1,79.19
1,97,18,2,62.35
5,72,29,4,82.05
3,84,13,4,63.26
1,68,19,4,62.45
4,63,21,3,64.59
5,73,26,1,88.35
7,96,23,1,87.45
1,93,23,2,76.46
3,70,11,3,63.95
2,62,29,2,77.38
9,87,20,1,77.86
6,88,25,1,74.9
3,68,28,4,79.37
8,62,15,3,77.13
8,84,28,1,84.42
2,93,14,4,69.67
6,71,13,3,70.47
7,68,24,2,81.83
2,74,13,3,60.19
2,99,29,3,92.98
1,84,19,1,65.1
8,64,12,1,68.75
1,70,14,3,51.3
9,93,15,1,77.1
6,83,17,1,60.81
7,74,16,1,57.33
7,97,19,4,86.19
3,67,15,4,66.32
2,64,23,3,78.35
9,85,13,1,82.6
8,77,22,4,93.7
7,65,29,3,93.14
9,96,26,1,94.1
4,72,16,2,55.94
4,87,13,1,60.37
1,64,23,1,69.65
8,72,12,4,75.09
3,76,14,3,55.87
7,99,25,3,96.77
2,91,29,4,92.44
2,88,13,1,59.15
7,62,11,2,58.96
6,99,27,1,93.03
3,93,28,1,86.89
9,99,28,2,96.49
6,86,26,4,94.08
6,72,23,3,79.65
1,92,28,4,79.16
4,65,22,4,72.69
6,83,21,1,68.08
6,78,15,3,75.3
5,75,13,3,66.28
1,99,28,4,86.92
8,87,25,2,96.7
5,92,22,4,85.94
5,72,13,2,53.94
7,84,26,3,88.5
4,95,10,4,74.66
6,86,27,1,82.45
4,97,29,4,96.98
3,66,26,3,81.02
7,64,24,1,79.65
8,90,20,1,92.75
4,82,22,2,69.72
2,69,10,1,41.82
3,91,26,1,74
1,89,15,4,64.72
8,98,13,3,82.9
3,90,29,2,81.34
7,77,25,4,95.17
5,95,24,1,82.18
5,61,24,1,66.26
7,73,15,2,59.64
9,72,24,3,80.46
5,88,23,2,77.57
1,71,20,4,67.45
1,98,16,2,72.13
2,61,18,1,60.8
6,91,25,4,87.61
9,72,14,1,70.14
8,86,29,3,100
5,76,19,1,78.17
1,99,27,1,78.13
7,90,12,2,73.79
5,93,22,1,85.35
6,83,20,4,74.36
7,94,26,4,93.64
3,65,22,3,82.1
3,78,15,4,65.39
5,89,26,2,71.06
6,66,22,3,76.7
9,69,28,4,100
5,91,28,2,89.33
1,93,19,4,76.98
4,87,12,4,71.79
5,74,23,1,72.43
5,89,28,4,91.1
7,96,14,4,79.57
4,88,14,2,66.29
1,81,29,2,80.07
5,63,26,1,75.88
7,79,19,4,77.46
6,91,14,1,71.55
5,95,13,4,76
4,63,15,3,55.22
2,86,13,3,59.85
4,76,16,1,62.77
3,71,16,1,56.13
1,81,27,1,77.49
8,76,12,2,66.47
5,69,10,2,56.55
4,60,13,2,53.5
8,81,15,1,60.33
7,85,18,4,71.25
2,77,23,3,77.05
1,73,21,1,64.23
4,88,29,2,90.09
8,71,13,2,67.47
2,95,21,1,72.57
3,94,19,1,75.05
1,71,16,2,59.52
1,66,12,4,60
3,88,23,2,77.76
5,70,19,2,68
3,92,25,1,79.57
1,65,25,4,69.82
1,74,19,2,60.8
8,91,22,2,87.19
2,70,15,3,60.82
3,82,21,1,69.07
2,85,18,3,62.06
3,93,22,3,82.58
7,93,13,2,75.57
1,88,20,1,74.12
8,63,29,4,95.61
2,76,27,2,77.31
3,94,20,4,74.13
9,72,13,4,81.56
7,98,27,1,92.64
4,74,10,3,58.67
5,88,16,1,66.63
2,88,15,4,66.31
8,70,24,2,86.44
4,91,27,4,85.69
9,61,20,2,84.43
5,73,29,2,92.44
9,79,24,1,83.43
4,81,25,4,80.48
5,70,16,3,57.42
9,86,19,4,81.04
8,62,21,4,84.75
3,76,23,3,77.38
1,87,14,1,59.07
3,88,27,4,78.67
4,80,14,4,66.02
2,75,12,2,61.34
1,96,14,4,66.32
7,79,26,3,82.84
8,65,28,2,86.94
7,78,28,1,83.04
5,64,21,2,72.37
1,62,18,3,60.2
7,60,10,3,62.22
7,97,27,2,87.51
9,74,13,1,64.96
3,93,19,2,77.85
9,94,16,1,70.93
1,84,10,2,47.18
1,83,26,3,79.4
4,71,11,4,62.23
9,77,20,4,83.66
6,74,18,1,67.31
3,75,16,1,62.67
1,86,26,1,78.55
4,67,26,3,74.25
9,84,11,2,71.52
3,76,15,3,71.36
9,88,23,4,93.32
7,67,15,1,58.7
4,74,11,2,51.07
3,86,10,4,61
