@relation linear_regression_finalmarks-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute StudyHours {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-5]\'','\'(5-5.8]\'','\'(5.8-6.6]\'','\'(6.6-7.4]\'','\'(7.4-8.2]\'','\'(8.2-inf)\''}
@attribute Attendance {'\'(-inf-63.9]\'','\'(63.9-67.8]\'','\'(67.8-71.7]\'','\'(71.7-75.6]\'','\'(75.6-79.5]\'','\'(79.5-83.4]\'','\'(83.4-87.3]\'','\'(87.3-91.2]\'','\'(91.2-95.1]\'','\'(95.1-inf)\''}
@attribute InternalMarks {'\'(-inf-11.9]\'','\'(11.9-13.8]\'','\'(13.8-15.7]\'','\'(15.7-17.6]\'','\'(17.6-19.5]\'','\'(19.5-21.4]\'','\'(21.4-23.3]\'','\'(23.3-25.2]\'','\'(25.2-27.1]\'','\'(27.1-inf)\''}
@attribute Projects {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-2.2]\'','\'(2.2-2.5]\'','\'(2.5-2.8]\'','\'(2.8-3.1]\'','\'(3.1-3.4]\'','\'(3.4-3.7]\'','\'(3.7-inf)\''}
@attribute FinalMarks numeric

@data
'\'(6.6-7.4]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',88.93
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',93.31
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',62.94
'\'(4.2-5]\'','\'(95.1-inf)\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',83.05
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',87.2
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',71.86
'\'(6.6-7.4]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',75.2
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',78.09
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',85.3
'\'(3.4-4.2]\'','\'(91.2-95.1]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',76.26
'\'(7.4-8.2]\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',66.35
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',93.47
'\'(2.6-3.4]\'','\'(71.7-75.6]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',66.93
'\'(5.8-6.6]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',99.56
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',78.47
'\'(1.8-2.6]\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',55.05
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',90.94
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',69.51
'\'(1.8-2.6]\'','\'(71.7-75.6]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',51.59
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',63.52
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',49.47
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',82.63
'\'(8.2-inf)\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',91.58
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',72.11
