sepallength,petallength,petalwidth,class
0.555245,0.691892,0.354251,Iris-virginica
0.483916,0.500386,0.591093,Iris-virginica
0.572028,0.357529,0.510121,Iris-setosa
0.66993,0.350579,0.489879,Iris-setosa
0.472727,0.471815,0.617409,Iris-setosa
0.472727,0.328185,0.47166,Iris-virginica
0.675524,0.579151,0.578947,Iris-virginica
0.584615,0.534363,0.463563,Iris-versicolor
0.446154,0.516602,0.554656,Iris-setosa
0.559441,0.439382,0.427126,Iris-virginica
0.447552,0.401544,0.481781,Iris-setosa
0.447552,0.403089,0.635628,Iris-virginica
0.525874,0.532046,0.574899,Iris-versicolor
0.285315,0.535135,0.580972,Iris-setosa
0.306294,0.47027,0.710526,Iris-virginica
0.436364,0.353668,0.512146,Iris-setosa
0.386014,0.597683,0.360324,Iris-setosa
0.534266,0.453282,0.710526,Iris-virginica
0.397203,0.525869,0.459514,Iris-versicolor
0.341259,0.555212,0.615385,Iris-setosa
0.662937,0.525869,0.544534,Iris-setosa
0.474126,0.464865,0.374494,Iris-virginica
0.506294,0.594595,0.473684,Iris-virginica
0.33986,0.584556,0.417004,Iris-versicolor
0.437762,0.538996,0.423077,Iris-setosa
0.511888,0.49112,0.576923,Iris-versicolor
0.370629,0.597683,0.522267,Iris-versicolor
0.541259,0.430116,0.477733,Iris-setosa
0.432168,0.551351,0.374494,Iris-virginica
0.467133,0.559846,0.702429,Iris-virginica
0.432168,0.617761,0.550607,Iris-versicolor
0.706294,0.570656,0.538462,Iris-virginica
0.497902,0.474131,0.595142,Iris-setosa
0.38042,0.647104,0.360324,Iris-setosa
0.591608,0.609266,0.338057,Iris-virginica
0.362238,0.369112,0.481781,Iris-setosa
0.523077,0.572201,0.536437,Iris-virginica
0.27972,0.549035,0.481781,Iris-setosa
0.351049,0.640154,0.275304,Iris-setosa
0.521678,0.634749,0.516194,Iris-versicolor
0.581818,0.52278,0.595142,Iris-setosa
0.518881,0.427799,0.356275,Iris-setosa
0.486713,0.511021,0.651822,Iris-virginica
0.465734,0.562162,0.423077,Iris-virginica
0.334266,0.530502,0.560729,Iris-virginica
0.418182,0.573745,0.637652,Iris-setosa
0.447552,0.627027,0.408907,Iris-setosa
0.618182,0.539768,0.396761,Iris-virginica
0.537063,0.503475,0.532389,Iris-setosa
0.302098,0.435521,0.751012,Iris-setosa
0.535664,0.203089,0.309717,Iris-virginica
0.455944,0.476448,0.534413,Iris-versicolor
0.423776,0.511969,0.412955,Iris-setosa
0.567832,0.405405,0.605263,Iris-setosa
0.613986,0.589189,0.279352,Iris-versicolor
0.604196,0.427799,0.779352,Iris-setosa
0.405594,0.507336,0.635628,Iris-virginica
0.464336,0.469498,0.408907,Iris-setosa
0.537063,0.702703,0.540486,Iris-setosa
0.608392,0.688803,0.45749,Iris-versicolor
0.446154,0.5861,0.510121,Iris-versicolor
0.478322,0.510425,0.58502,Iris-versicolor
0.374825,0.564479,0.37247,Iris-virginica
0.365035,0.505792,0.6417,Iris-versicolor
0.59021,0.616988,0.538462,Iris-versicolor
0.65035,0.596139,0.40081,Iris-setosa
0.490909,0.589961,0.554656,Iris-setosa
0.611189,0.546718,0.51417,Iris-versicolor
0.53986,0.567568,0.477733,Iris-virginica
0.426573,0.615444,0.572874,Iris-virginica
0.53986,0.783012,0.493927,Iris-setosa
0.671329,0.629344,0.625506,Iris-versicolor
0.495105,0.360618,0.277328,Iris-virginica
0.674126,0.501158,0.449393,Iris-setosa
0.205594,0.444788,0.451417,Iris-setosa
0.591608,0.509653,0.419028,Iris-versicolor
0.509091,0.498069,0.615385,Iris-versicolor
0.465734,0.494208,0.455466,Iris-versicolor
0.509091,0.56834,0.621457,Iris-versicolor
0.276923,0.504247,0.593117,Iris-setosa
0.474126,0.606178,0.526316,Iris-virginica
0.53986,0.474903,0.461538,Iris-setosa
0.664336,0.414672,0.55668,Iris-virginica
0.441958,0.504247,0.55668,Iris-virginica
0.408392,0.450965,0.676113,Iris-virginica
0.443357,0.627799,0.497976,Iris-virginica
0.601399,0.598456,0.605263,Iris-virginica
0.535664,0.647104,0.530364,Iris-setosa
0.440559,0.399228,0.483806,Iris-virginica
0.556643,0.327413,0.696356,Iris-versicolor
0.51049,0.711969,0.582996,Iris-setosa
0.606993,0.379151,0.463563,Iris-virginica
0.420979,0.604633,0.522267,Iris-virginica
0.462937,0.589961,0.61336,Iris-versicolor
0.455944,0.514286,0.550607,Iris-versicolor
0.335664,0.48417,0.445344,Iris-versicolor
0.532867,0.397683,0.483806,Iris-setosa
0.528671,0.649421,0.635628,Iris-versicolor
0.499301,0.596139,0.451417,Iris-virginica
0.472727,0.823938,0.611336,Iris-virginica
0.341259,0.498842,0.417004,Iris-virginica
0.451748,0.505019,0.455466,Iris-versicolor
0.461538,0.379151,0.748988,Iris-virginica
0.40979,0.587645,0.508097,Iris-versicolor
0.481119,0.257915,0.564777,Iris-virginica
0.544056,0.307336,0.246964,Iris-versicolor
0.71049,0.53668,0.475709,Iris-virginica
0.518881,0.56834,0.576923,Iris-versicolor
0.499408,0.439382,0.469636,Iris-versicolor
0.490909,0.379151,0.512146,Iris-virginica
0.283916,0.515058,0.589069,Iris-setosa
0.496503,0.428571,0.497976,Iris-setosa
0.506294,0.425483,0.439271,Iris-versicolor
0.774825,0.569112,0.520243,Iris-virginica
0.478322,0.850193,0.455466,Iris-virginica
0.532867,0.439382,0.257085,Iris-virginica
0.495105,0.511969,0.493927,Iris-virginica
0.369231,0.522008,0.293522,Iris-versicolor
0.626573,0.406178,0.767206,Iris-versicolor
0.583217,0.484942,0.427126,Iris-virginica
0.587413,0.490347,0.609312,Iris-virginica
0.397203,0.482625,0.728745,Iris-versicolor
0.655944,0.444788,0.564777,Iris-setosa
0.342657,0.542085,0.319838,Iris-setosa
0.565035,0.497297,0.336032,Iris-virginica
0.744056,0.249421,0.522267,Iris-setosa
0.388811,0.760618,0.722672,Iris-setosa
0.436364,0.399228,0.489879,Iris-setosa
0.51049,0.37529,0.582996,Iris-setosa
0.443357,0.253282,0.647773,Iris-setosa
0.325874,0.717375,0.615385,Iris-versicolor
0.506294,0.395367,0.481781,Iris-setosa
0.38042,0.289575,0.439271,Iris-setosa
0.552448,0.442471,0.603239,Iris-virginica
0.395804,0.582239,0.665992,Iris-virginica
0.672727,0.453282,0.580972,Iris-versicolor
0.411189,0.289575,0.497976,Iris-virginica
0.462937,0.480309,0.449393,Iris-virginica
0.59021,0.403861,0.384615,Iris-setosa
0.362238,0.5861,0.356275,Iris-setosa
0.524476,0.473359,0.402834,Iris-versicolor
0.646154,0.555212,0.516194,Iris-virginica
0.318881,0.6139,0.435223,Iris-setosa
0.52028,0.52278,0.45749,Iris-virginica
0.528671,0.52973,0.621457,Iris-setosa
0.587413,0.562162,0.404858,Iris-virginica
0.360839,0.538996,0.449393,Iris-setosa
0.351049,0.379151,0.593117,Iris-setosa
0.558042,0.345946,0.441296,Iris-setosa
0.532867,0.800772,0.647773,Iris-setosa
0.527273,0.771429,0.61336,Iris-versicolor
0.538462,0.309653,0.396761,Iris-versicolor
0.423776,0.436293,0.526316,Iris-virginica
0.525874,0.545174,0.510121,Iris-virginica
0.531469,0.541313,0.589069,Iris-versicolor
0.41958,0.542085,0.465587,Iris-versicolor
0.707692,0.396139,0.506073,Iris-virginica
0.552448,0.469498,0.48583,Iris-virginica
0.366434,0.641699,0.718623,Iris-virginica
0.573427,0.52278,0.487854,Iris-setosa
0.39021,0.454826,0.710526,Iris-setosa
0.587413,0.393822,0.477733,Iris-versicolor
0.629371,0.615444,0.42915,Iris-setosa
0.406993,0.528185,0.775304,Iris-setosa
0.606993,0.468726,0.595142,Iris-versicolor
0.545455,0.57529,0.603239,Iris-versicolor
0.591608,0.511021,0.41498,Iris-virginica
0.711888,0.300386,0.566802,Iris-setosa
0.471329,0.585328,0.554656,Iris-virginica
0.415385,0.881081,0.6417,Iris-virginica
0.4,0.36834,0.489879,Iris-virginica
0.408392,0.559073,0.554656,Iris-virginica
0.490909,0.442471,0.576923,Iris-virginica
0.537063,0.659459,0.394737,Iris-versicolor
0.53007,0.528185,0.287449,Iris-virginica
0.591608,0.600772,0.493927,Iris-setosa
0.500699,0.302703,0.552632,Iris-versicolor
0.661538,0.462548,0.593117,Iris-virginica
0.46993,0.320463,0.57085,Iris-setosa
0.804196,0.454826,0.534413,Iris-setosa
0.569231,0.539768,0.530364,Iris-virginica
0.402797,0.564479,0.417004,Iris-virginica
0.379021,0.519691,0.629555,Iris-versicolor
0.553846,0.567568,0.564777,Iris-setosa
0.474126,0.454054,0.44332,Iris-versicolor
0.579021,0.353668,0.228745,Iris-versicolor
0.552448,0.527413,0.562753,Iris-virginica
0.490909,0.498842,0.497976,Iris-setosa
0.404196,0.712741,0.615385,Iris-versicolor
0.33007,0.64556,0.433198,Iris-virginica
0.448951,0.648649,0.467611,Iris-virginica
0.595804,0.440154,0.623482,Iris-virginica
0.523077,0.513514,0.657895,Iris-virginica
0.359441,0.55444,0.402834,Iris-versicolor
0.518881,0.394595,0.700405,Iris-setosa
0.542657,0.379151,0.763158,Iris-versicolor
0.4,0.423938,0.631579,Iris-setosa
0.516084,0.419305,0.633603,Iris-setosa
0.506294,0.572201,0.489879,Iris-setosa
0.372028,0.549807,0.495951,Iris-versicolor
0.53986,0.505792,0.394737,Iris-versicolor
0.562238,0.525097,0.580972,Iris-versicolor
0.620979,0.499614,0.566802,Iris-virginica
0.616783,0.467954,0.536437,Iris-versicolor
0.345455,0.46332,0.552632,Iris-virginica
0.394406,0.299614,0.453441,Iris-versicolor
0.556643,0.478764,0.52834,Iris-virginica
0.556643,0.467954,0.449393,Iris-versicolor
0.556643,0.432432,0.566802,Iris-versicolor
0.93007,0.43861,0.629555,Iris-virginica
