@relation market

@attribute Milk {Yes,No}
@attribute Butter {No,Yes}
@attribute Jam {No,Yes}
@attribute Bread {No,Yes}
@attribute Eggs {Yes,No}
@attribute Cheese {Yes,No}
@attribute Tea {No,Yes}

@data
Yes,No,No,No,Yes,Yes,No
No,No,No,No,No,Yes,No
No,No,Yes,Yes,No,No,No
Yes,Yes,Yes,Yes,No,Yes,No
No,Yes,Yes,No,Yes,Yes,Yes
No,No,Yes,Yes,Yes,Yes,No
Yes,Yes,Yes,Yes,Yes,No,No
No,Yes,No,Yes,No,Yes,No
No,No,No,No,No,Yes,Yes
Yes,No,Yes,No,No,No,No
No,Yes,No,Yes,No,No,Yes
No,No,Yes,No,No,Yes,No
No,Yes,No,No,No,No,No
Yes,Yes,Yes,No,Yes,No,No
No,Yes,No,Yes,Yes,No,No
No,Yes,Yes,Yes,Yes,No,No
Yes,No,No,No,Yes,No,No
Yes,No,Yes,No,Yes,Yes,Yes
No,Yes,No,Yes,No,Yes,No
No,No,Yes,Yes,No,No,No
